id,name,v_nom,type,x,y,control,type
Bus1,Radisson,735,line,53.727271312179,-77.7356709758903,PQ,Bus
Bus2,La Grande-3,735,line,53.7349690471987,-76.0099097781165,PQ,Bus
Bus3,EDU de Francisco,735,line,53.8726266088262,-73.4673511316107,PQ,Bus
Bus4,Le Moyne,735,line,53.4842407184999,-75.0344752874567,PQ,Bus
Bus5,Churchill Falls,735,line,53.5282350545755,-63.9723631989222,PQ,Bus
Bus6,Muskeg,735,line,52.207810437872,-76.5827966182256,PQ,Bus
Bus7,Nemiscau,735,line,51.7099965289409,-76.0543754298988,PQ,Bus
Bus8,Albanel,735,line,51.6700932579191,-75.6044018317522,PQ,Bus
Bus9,Montagnais,735,line,51.8928189794181,-65.7284393740664,PQ,Bus
Bus10,Romaine-4,735,line,51.3495423896394,-63.4951858741008,PQ,Bus
Bus11,Romaine-3,735,line,51.1134681789163,-63.402617216444,PQ,Bus
Bus12,Romaine-2,735,line,50.6581672085344,-63.2083784991154,PQ,Bus
Bus13,Romaine-1,735,line,50.4487601535354,-63.2688033026078,PQ,Bus
Bus14,Arnaud,735,line,50.2367055391086,-66.6033132194597,PQ,Bus
Bus15,Abitibi,735,line,49.8268547062589,-75.4680665067808,PQ,Bus
Bus16,Chibougamau,735,line,49.78592534039,-74.6539597547645,PQ,Bus
Bus17,Micoua,735,line,49.7675333614744,-68.7395769741994,PQ,Bus
Bus18,Outarde,735,line,49.726174240592,-68.6954295030378,PQ,Bus
Bus19,Chamouchouane,735,line,48.6664616554963,-72.7115612054101,PQ,Bus
Bus20,Perigny,735,line,48.2221788490368,-70.3140905326501,PQ,Bus
Bus21,Manicouagan,735,line,49.2920839348179,-68.3910791319002,PQ,Bus
Bus22,La Verendrye,735,line,47.4964222007608,-74.9334836301578,PQ,Bus
Bus23,Saguenay,735,line,48.3737204295195,-71.2872816986287,PQ,Bus
Bus24,Bergeronnes,735,line,48.3415901040321,-69.4689890184656,PQ,Bus
Bus25,Jacques-Cartier,735,line,46.7927542605962,-71.7229694762295,PQ,Bus
Bus26,Laurentides,735,line,46.8550187156451,-71.3150999671979,PQ,Bus
Bus27,Grand-Brule,735,line,46.0605774251834,-74.566295094816,PQ,Bus
Bus28,Bout-de-l'ile,735,line,45.6650207265554,-73.5255162186237,PQ,Bus
Bus29,Chenier,735,line,45.5877780943106,-74.060204045613,PQ,Bus
Bus30,Duvernay,735,line,45.6624773354783,-73.6717102609521,PQ,Bus
Bus31,Judith-Jasmin,735,line,45.7153728025875,-73.7245911032773,PQ,Bus
Bus32,Carignan,735,line,45.9724588765677,-73.1570801474416,PQ,Bus
Bus33,Nicolet,735,line,46.0810805781006,-72.2542081744203,PQ,Bus
Bus34,Appalaches,735,line,46.1342527971421,-71.3968540032529,PQ,Bus
Bus35,Levis,735,line,46.7098964019486,-71.1921912320552,PQ,Bus
Bus36,Boucherville,735,line,45.6006019141566,-73.3647318032839,PQ,Bus
Bus37,Cantons,735,line,45.5659472492465,-71.9516098879425,PQ,Bus
Bus38,Monteregie,735,line,45.5097220859327,-72.716003849405,PQ,Bus
Bus39,Chateauguay,735,line,45.2532527645899,-73.8696378221165,PQ,Bus
Bus40,Hertel,735,line,45.4100944378947,-73.4277793898025,PQ,Bus
Eolienne41,Baie-des-Sables,735,prod,48.70250872,-67.87630973,PQ,Eolienne
Eolienne42,Carleton,735,prod,48.19519094,-66.13116115,PQ,Eolienne
Eolienne43,Cote-de-Beaupre,735,prod,47.29520572,-70.87928212,PQ,Eolienne
Eolienne44,De l'Erable,735,prod,46.0958034,-71.65495405,PQ,Eolienne
Eolienne45,Des Cultures (Parc Eolien),735,prod,45.2188069,-73.61496244,PQ,Eolienne
Eolienne46,Des Moulins I,735,prod,46.17404862,-71.34928657,PQ,Eolienne
Eolienne47,Des Moulins II,735,prod,48.0399533,-67.53435188,PQ,Eolienne
Eolienne48,Frampton,735,prod,46.44076424,-70.73697159,PQ,Eolienne
Eolienne49,Gros-Morne,735,prod,49.20603742,-65.45831434,PQ,Eolienne
Eolienne50,Jardin d'Eole (Saint-Ulric Saint-Leandre),735,prod,48.73162671,-67.64798272,PQ,Eolienne
Eolienne51,La Dune-du-Nord aux Iles-de-la-Madeleine,735,prod,47.56860171,-61.63650236,PQ,Eolienne
Eolienne52,La Mitis,735,prod,48.36488267,-67.83969508,PQ,Eolienne
Eolienne53,Lac Alfred,735,prod,48.39158756,-67.75237757,PQ,Eolienne
Eolienne54,L'Anse-a-Valleau,735,prod,49.09338943,-64.65407089,PQ,Eolienne
Eolienne55,Le Granit,735,prod,45.69762025,-70.58115239,PQ,Eolienne
Eolienne56,Le Nordais (Cap-Chat),735,prod,49.06309965,-66.75644579,PQ,Eolienne
