name,voltage,latitude,longitude,type,control
Node_1,450.0,47.7370383,-69.5568875,ligne,PQ
Node_2,450.0,48.6548709,-67.8430015,ligne,PQ
Node_3,450.0,49.1890673,-65.6017718,ligne,PQ
Node_4,735.0,48.1149537,-66.2609327,ligne,PQ
Node_5,735.0,46.2022216,-74.5233463,ligne,PQ
Node_6,735.0,45.6474342,-73.3792461,ligne,PQ
Node_7,735.0,53.7567938,-77.9477231,ligne,PQ
Node_8,735.0,53.7047995,-77.7719418,ligne,PQ
Node_9,735.0,53.5875771,-76.1239926,ligne,PQ
Node_10,735.0,53.4307732,-75.0912778,ligne,PQ
Node_11,735.0,53.7438013,-73.4213559,ligne,PQ
Node_12,735.0,51.6879428,-76.2568664,ligne,PQ
Node_13,735.0,51.513848,-75.6873611,ligne,PQ
Node_14,735.0,49.9137407,-74.3713954,ligne,PQ
Node_15,735.0,49.8071778,-75.4563038,ligne,PQ
Node_16,735.0,45.5533303,-74.3034735,ligne,PQ
Node_17,735.0,45.5995652,-73.924466,ligne,PQ
Node_18,735.0,45.837338,-73.1499338,ligne,PQ
Node_19,735.0,45.2061168,-74.0068446,ligne,PQ
Node_20,735.0,45.4106519,-73.3696835,ligne,PQ
Node_21,735.0,45.4109587,-72.7379344,ligne,PQ
Node_22,735.0,45.4037181,-71.9185838,ligne,PQ
Node_23,735.0,45.8797991,-72.1392469,ligne,PQ
Node_24,735.0,47.5405027,-75.1679787,ligne,PQ
Node_25,735.0,48.883683,-72.442474,ligne,PQ
Node_26,735.0,48.405959,-71.069183,ligne,PQ
Node_27,735.0,46.8387013,-71.5763158,ligne,PQ
Node_28,735.0,47.08114,-71.1993319,ligne,PQ
Node_29,735.0,46.8033,-71.208,ligne,PQ
Node_30,735.0,46.1620946,-70.9279886,ligne,PQ
Node_31,735.0,49.7965164,-68.7823319,ligne,PQ
Node_32,735.0,49.3434837,-68.2572221,ligne,PQ
Node_33,735.0,48.243882,-69.545517,ligne,PQ
Node_34,735.0,50.2050486,-66.8400285,ligne,PQ
Node_35,735.0,52.0843754,-65.9554024,ligne,PQ
Node_36,735.0,50.5743153,-63.0989383,ligne,PQ
