name,bus0,bus1,type,length,capital_cost,s_nom
L0001,Node_2,Node_1,735kV_line,162.9461,162946.100000,3000
L0002,Node_3,Node_2,735kV_line,174.1868,174186.800000,3000
L0003,Node_4,Node_1,735kV_line,249.1324,249132.400000,3000
L0004,Node_8,Node_7,735kV_line,12.9278,12927.800000,3000
L0005,Node_9,Node_8,735kV_line,109.3980,109398.000000,3000
L0006,Node_10,Node_9,735kV_line,70.4803,70480.300000,3000
L0007,Node_11,Node_10,735kV_line,115.5852,115585.200000,3000
L0008,Node_11,Node_10,735kV_line,115.5852,115585.200000,3000
L0009,Node_11,Node_10,735kV_line,115.5852,115585.200000,3000
L0010,Node_12,Node_7,735kV_line,256.6701,256670.100000,3000
L0011,Node_12,Node_7,735kV_line,256.6701,256670.100000,3000
L0012,Node_12,Node_8,735kV_line,246.3971,246397.100000,3000
L0013,Node_13,Node_9,735kV_line,232.4691,232469.100000,3000
L0014,Node_13,Node_10,735kV_line,216.9404,216940.400000,3000
L0015,Node_13,Node_10,735kV_line,216.9404,216940.400000,3000
L0016,Node_13,Node_12,735kV_line,43.8395,43839.500000,3000
L0017,Node_14,Node_13,735kV_line,200.5953,200595.300000,3000
L0018,Node_14,Node_13,735kV_line,200.5953,200595.300000,3000
L0019,Node_14,Node_13,735kV_line,200.5953,200595.300000,3000
L0020,Node_15,Node_12,735kV_line,216.5801,216580.100000,3000
L0021,Node_15,Node_12,735kV_line,216.5801,216580.100000,3000
L0022,Node_15,Node_12,735kV_line,216.5801,216580.100000,3000
L0023,Node_15,Node_14,735kV_line,78.6652,78665.200000,3000
L0024,Node_16,Node_5,735kV_line,74.1338,74133.800000,3000
L0025,Node_17,Node_6,735kV_line,42.7325,42732.500000,3000
L0026,Node_17,Node_16,735kV_line,29.9434,29943.400000,3000
L0027,Node_18,Node_6,735kV_line,27.6145,27614.500000,3000
L0028,Node_19,Node_16,735kV_line,45.0261,45026.100000,3000
L0029,Node_20,Node_6,735kV_line,26.3395,26339.500000,3000
L0030,Node_20,Node_6,735kV_line,26.3395,26339.500000,3000
L0031,Node_20,Node_19,735kV_line,54.7724,54772.400000,3000
L0032,Node_21,Node_20,735kV_line,49.3148,49314.800000,3000
L0033,Node_22,Node_21,735kV_line,63.9680,63968.000000,3000
L0034,Node_23,Node_6,735kV_line,99.5976,99597.600000,3000
L0035,Node_23,Node_6,735kV_line,99.5976,99597.600000,3000
L0036,Node_23,Node_22,735kV_line,55.6478,55647.800000,3000
L0037,Node_24,Node_5,735kV_line,156.6692,156669.200000,3000
L0038,Node_24,Node_15,735kV_line,252.9298,252929.800000,3000
L0039,Node_24,Node_15,735kV_line,252.9298,252929.800000,3000
L0040,Node_24,Node_15,735kV_line,252.9298,252929.800000,3000
L0041,Node_24,Node_5,735kV_line,156.6692,156669.200000,3000
L0042,Node_24,Node_17,735kV_line,235.8206,235820.600000,3000
L0043,Node_25,Node_50,735kV_line,99.5925,99592.500000,3000
L0044,Node_25,Node_50,735kV_line,99.5925,99592.500000,3000
L0045,Node_25,Node_50,735kV_line,99.5925,99592.500000,3000
L0046,Node_26,Node_25,735kV_line,114.0217,114021.700000,3000
L0047,Node_27,Node_17,735kV_line,227.1874,227187.400000,3000
L0048,Node_27,Node_18,735kV_line,164.2861,164286.100000,3000
L0049,Node_25,Node_49,735kV_line,114.7880,114788.000000,3000
L0050,Node_27,Node_49,735kV_line,122.1933,122193.300000,3000
L0051,Node_27,Node_26,735kV_line,178.3665,178366.500000,3000
L0052,Node_28,Node_27,735kV_line,39.3097,39309.700000,3000
L0053,Node_29,Node_1,735kV_line,162.1647,162164.700000,3000
L0054,Node_29,Node_23,735kV_line,125.1189,125118.900000,3000
L0055,Node_29,Node_23,735kV_line,125.1189,125118.900000,3000
L0056,Node_29,Node_28,735kV_line,30.9014,30901.400000,3000
L0057,Node_30,Node_22,735kV_line,114.0674,114067.400000,3000
L0058,Node_30,Node_29,735kV_line,74.4523,74452.300000,3000
L0059,Node_31,Node_26,735kV_line,227.1947,227194.700000,3000
L0060,Node_32,Node_31,735kV_line,63.0197,63019.700000,3000
L0061,Node_33,Node_29,735kV_line,203.0723,203072.300000,3000
L0062,Node_33,Node_29,735kV_line,203.0723,203072.300000,3000
L0063,Node_33,Node_29,735kV_line,203.0723,203072.300000,3000
L0064,Node_33,Node_32,735kV_line,154.4480,154448.000000,3000
L0065,Node_33,Node_32,735kV_line,154.4480,154448.000000,3000
L0066,Node_33,Node_32,735kV_line,154.4480,154448.000000,3000
L0067,Node_34,Node_31,735kV_line,146.0616,146061.600000,3000
L0068,Node_34,Node_32,735kV_line,139.7620,139762.000000,3000
L0069,Node_34,Node_32,735kV_line,139.7620,139762.000000,3000
L0070,Node_35,Node_34,735kV_line,217.8884,217888.400000,3000
L0071,Node_35,Node_34,735kV_line,217.8884,217888.400000,3000
L0072,Node_35,Node_34,735kV_line,217.8884,217888.400000,3000
L0073,Node_36,Node_34,735kV_line,268.3494,268349.400000,3000
L0074,Node_37,Node_28,735kV_line,148.1801,148180.100000,3000
L0075,Node_37,Node_31,735kV_line,202.4338,202433.800000,3000
L0076,Node_38,Node_11,735kV_line,276.1431,276143.100000,3000
L0077,Node_39,Node_3,735kV_line,62.4356,62435.600000,3000
L0078,Node_40,Node_24,735kV_line,222.3431,222343.100000,3000
L0079,Node_41,Node_36,735kV_line,273.6965,273696.500000,3000
L0080,Node_42,Node_27,735kV_line,175.8920,175892.000000,3000
L0081,Node_42,Node_25,735kV_line,208.2933,208293.300000,3000
L0082,Node_42,Node_18,735kV_line,165.2938,165293.800000,3000
L0083,Node_42,Node_24,735kV_line,106.6219,106621.900000,3000
L0084,Node_42,Node_24,735kV_line,106.6219,106621.900000,3000
L0085,Node_42,Node_18,735kV_line,165.2938,165293.800000,3000
L0086,Node_49,Node_27,735kV_line,122.1933,122193.300000,3000
L0087,Node_5,Node_16,735kV_line,74.1338,74133.800000,3000
L0088,Node_36,Node_34,735kV_line,268.3494,268349.400000,3000
L0089,Node_8,Node_7,735kV_line,12.9278,12927.800000,3000
L0090,Node_18,Node_6,735kV_line,27.6145,27614.500000,3000
L0091,Node_17,Node_16,735kV_line,29.9434,29943.400000,3000
L0092,Node_17,Node_6,735kV_line,42.7325,42732.500000,3000
L0093,Node_20,Node_6,735kV_line,26.3395,26339.500000,3000
L0094,Node_20,Node_19,735kV_line,54.7724,54772.400000,3000
L0095,Node_19,Node_16,735kV_line,45.0261,45026.100000,3000
L0096,Node_21,Node_20,735kV_line,49.3148,49314.800000,3000
L0097,Node_22,Node_21,735kV_line,63.9680,63968.000000,3000
L0098,Node_23,Node_22,735kV_line,55.6478,55647.800000,3000
L0099,Node_23,Node_6,735kV_line,99.5976,99597.600000,3000
L0100,Node_47,Node_12,735kV_line,350.6827,350682.700000,3000
L0101,Node_47,Node_15,735kV_line,215.5948,215594.800000,3000
L0102,Node_47,Node_40,735kV_line,85.6525,85652.500000,3000
L0103,Node_44,Node_40,735kV_line,253.2396,253239.600000,3000
L0104,Node_46,Node_31,735kV_line,71.0782,71078.200000,3000
L0105,Node_44,Node_16,735kV_line,153.8727,153872.700000,3000
L0106,Node_44,Node_16,735kV_line,153.8727,153872.700000,3000
L0107,Node_43,Node_36,735kV_line,63.6394,63639.400000,3000
L0108,Node_43,Node_36,735kV_line,63.6394,63639.400000,3000
L0109,Node_46,Node_45,735kV_line,57.5860,57586.000000,3000
L0110,Node_48,Node_45,735kV_line,1035.0160,1035016.000000,3000
L0111,Node_46,Node_31,735kV_line,71.0782,71078.200000,3000
L0112,Node_17,Node_16,735kV_line,29.9434,29943.400000,3000
L0113,Node_17,Node_6,735kV_line,42.7325,42732.500000,3000
L0114,Node_20,Node_6,735kV_line,26.3395,26339.500000,3000
L0115,Node_20,Node_19,735kV_line,54.7724,54772.400000,3000
L0116,Node_19,Node_16,735kV_line,45.0261,45026.100000,3000
L0117,Node_21,Node_20,735kV_line,49.3148,49314.800000,3000
L0118,Node_22,Node_21,735kV_line,63.9680,63968.000000,3000
L0119,Node_23,Node_22,735kV_line,55.6478,55647.800000,3000
L0120,Node_14,Node_50,735kV_line,95.6178,95617.800000,3000
L0121,Node_14,Node_50,735kV_line,95.6178,95617.800000,3000
L0122,Node_14,Node_50,735kV_line,95.6178,95617.800000,3000
L0123,Node_25,Node_49,735kV_line,114.7880,114788.000000,3000
L0124,Node_28,Node_27,735kV_line,39.3097,39309.700000,3000
L0125,Node_28,Node_27,735kV_line,39.3097,39309.700000,3000
L0126,Node_28,Node_29,735kV_line,30.9014,30901.400000,3000
L0127,Node_8,Node_12,735kV_line,246.3971,246397.100000,3000
L0128,Node_32,Node_34,735kV_line,139.7620,139762.000000,3000
L0129,Node_29,Node_23,735kV_line,125.1189,125118.900000,3000
L0130,Hydro_Robert-Bourassa,Node_8,735kV_line,17.9149,17914.900000,3000
L0131,Hydro_Robert-Bourassa,Node_8,735kV_line,17.9149,17914.900000,3000
L0132,Hydro_Robert-Bourassa,Node_8,735kV_line,17.9149,17914.900000,3000
L0133,Hydro_La Grande-4,Node_11,735kV_line,16.1455,16145.500000,3000
L0134,Hydro_La Grande-4,Node_11,735kV_line,16.1455,16145.500000,3000
L0135,Hydro_La Grande-3,Node_9,735kV_line,17.9618,17961.800000,3000
L0136,Hydro_La Grande-3,Node_9,735kV_line,17.9618,17961.800000,3000
L0137,Hydro_La grande-2-A,Node_8,735kV_line,16.8382,16838.200000,3000
L0138,Hydro_La grande-2-A,Node_8,735kV_line,16.8382,16838.200000,3000
