type;name;bus0;bus1;type;capital_cost;length;s_nom;nb_ligne
Bus;Radisson - La Grande-3;Bus1;Bus2;735kV_line;113521,4722;113,5214722;2000;1
Bus;La Grande-3 - Le Moyne;Bus2;Bus4;735kV_line;70128,82489;70,12882489;2000;1
Bus;Le Moyne - EDU de Francisco;Bus4;Bus3;735kV_line;111882,6151;111,8826151;6000;3
Bus;Radisson - Muskeg;Bus1;Bus6;735kV_line;185755,0307;185,7550307;6000;3
Bus;Muskeg - Nemiscau;Bus6;Bus7;735kV_line;66144,46907;66,14446907;6000;3
Bus;Nemiscau - Albanel;Bus7;Bus8;735kV_line;31333,07444;31,33307444;2000;1
Bus;La Grande-3 - Albanel;Bus2;Bus8;735kV_line;231222,9251;231,2229251;2000;1
Bus;Le Moyne - Albanel;Bus4;Bus8;735kV_line;205365,616;205,365616;4000;2
Bus;Nemiscau - Abitibi;Bus7;Bus15;735kV_line;213415,1361;213,4151361;6000;3
Bus;Albanel - Chibougamau;Bus8;Bus16;735kV_line;219926,4998;219,9264998;6000;3
Bus;Abitibi - Chibougamau;Bus15;Bus16;735kV_line;58598,83868;58,59883868;2000;1
Bus;Abitibi - La Verendrye;Bus15;Bus22;735kV_line;262088,1718;262,0881718;6000;3
Bus;Chibougamau - Chamouchouane;Bus16;Bus19;735kV_line;188114,4554;188,1144554;6000;3
Bus;La Verendrye - Chenier;Bus22;Bus29;735kV_line;222488,981;222,488981;2000;1
Bus;La Verendrye - Grand-Brule;Bus22;Bus27;735kV_line;162088,2113;162,0882113;2000;1
Bus;Grand-Brule - Chenier;Bus27;Bus29;735kV_line;65587,76755;65,58776755;2000;1
Bus;Chenier - Duvernay;Bus29;Bus30;735kV_line;31331,95035;31,33195035;2000;1
Bus;Duvernay - Judith-Jasmin;Bus30;Bus31;735kV_line;7174,02292;7,17402292;4000;2
Bus;La Verendrye - Judith-Jasmin;Bus22;Bus31;735kV_line;218510,4279;218,5104279;2000;1
Bus;Duvernay - Bout-de-l'ile;Bus30;Bus28;735kV_line;11364,35633;11,36435633;2000;1
