type,name,bus0,bus1,type,capital_cost,length,s_nom
Bus,Radisson - La Grande-3,Bus1,Bus2,735kV_line,113521.472209913,113.521472209913,2000
Bus,La Grande-3 - Le Moyne,Bus2,Bus4,735kV_line,70128.8248937638,70.1288248937638,2000
Bus,Le Moyne - EDU de Francisco,Bus4,Bus3,735kV_line,111882.615060088,111.882615060088,2000
Bus,Radisson - Muskeg,Bus1,Bus6,735kV_line,185755.030724343,185.755030724343,2000
Bus,Muskeg - Nemiscau,Bus6,Bus7,735kV_line,66144.4690749632,66.1444690749632,2000
Bus,Nemiscau - Albanel,Bus7,Bus8,735kV_line,31333.0744432519,31.3330744432519,2000
Bus,La Grande-3 - Albanel,Bus2,Bus8,735kV_line,231222.925051916,231.222925051916,2000
Bus,Le Moyne - Albanel,Bus4,Bus8,735kV_line,205365.615981003,205.365615981003,2000
Bus,Nemiscau - Abitibi,Bus7,Bus15,735kV_line,213415.136092936,213.415136092936,2000
Bus,Albanel - Chibougamau,Bus8,Bus16,735kV_line,219926.499821375,219.926499821375,2000
Bus,Abitibi - Chibougamau,Bus15,Bus16,735kV_line,58598.8386828066,58.5988386828066,2000
Bus,Abitibi - La Verendrye,Bus15,Bus22,735kV_line,262088.171843916,262.088171843916,2000
Bus,Chibougamau - Chamouchouane,Bus16,Bus19,735kV_line,188114.455432004,188.114455432004,2000
Bus,La Verendrye - Grand-Brule,Bus22,Bus27,735kV_line,162088.211341537,162.088211341537,2000
Bus,Grand-Brule - Chenier,Bus27,Bus29,735kV_line,65587.7675542798,65.5877675542798,2000
Bus,Chenier - Duvernay,Bus29,Bus30,735kV_line,31331.9503520423,31.3319503520423,2000
Bus,Duvernay - Judith-Jasmin,Bus30,Bus31,735kV_line,7174.02291953965,7.17402291953965,2000
Bus,La Verendrye - Judith-Jasmin,Bus22,Bus31,735kV_line,218510.427900907,218.510427900907,2000
Bus,Duvernay - Bout-de-l'ile,Bus30,Bus28,735kV_line,11364.3563269471,11.3643563269471,2000
Bus,Bout-de-l'ile - Boucherville,Bus28,Bus36,735kV_line,14408.2777514311,14.4082777514311,2000
Bus,Chenier - Chateauguay,Bus29,Bus39,735kV_line,40060.8266092554,40.0608266092554,2000
