name,bus0,bus1,type,length,capital_cost,s_nom
L0001,High Falls,Masson-Nord,120kV_line,30.78,30780.0,10000
L0002,Paugan,Maniwaki,120kV_line,68.4,68400.0,20000
L0003,Interconnexion-Maclaren,Buckingham,120kV_line,4.4,4400.0,10000
L0004,Buckingham,FPS Canada Inc,120kV_line,11.4,11400.0,20000
L0005,Templeton,Interconnexion-Maclaren,120kV_line,13.75,13750.0,10000
L0006,Erco Mondial Buckingham,Interconnexion-Maclaren,120kV_line,18.15,18150.0,20000
L0007,Thurso-Papineau,Petite-Nation,120kV_line,17.1,17100.0,10000
L0008,FPS Canada Inc,Thurso-Papineau,120kV_line,1.14,1140.0,20000
L0009,Gatineau,Bowater Gatineau,120kV_line,0.55,550.0,10000
L0010,Touraine,Gatineau,120kV_line,3.85,3850.0,20000
L0011,Gatineau,Templeton,120kV_line,6.05,6050.0,10000
L0012,Touraine,Bowater Gatineau,120kV_line,4.4,4400.0,20000
L0013,Rapides-Farmers,Limbour,120kV_line,0.22,220.0,10000
L0014,Chelsea,Rapides-Farmers,120kV_line,1.65,1650.0,20000
L0015,Limbour,Touraine,120kV_line,4.95,4950.0,10000
L0016,Rapides-Farmers,Wakefield,120kV_line,22.8,22800.0,20000
L0017,Wakefield,Paugan,120kV_line,11.4,11400.0,10000
L0018,Lucerne,Gamelin,120kV_line,3.3,3300.0,20000
L0019,Cadieux,Bryson,120kV_line,2.28,2280.0,10000
L0020,Petite-Nation,Calumet,120kV_line,28.5,28500.0,20000
L0021,Mont-Laurier,Lac-des-ÃƒÅ½les,120kV_line,17.1,17100.0,10000
L0022,Lucerne,Quyon,120kV_line,28.5,28500.0,20000
L0023,Rapides-Farmers,Chelsea,120kV_line,1.65,1650.0,10000
L0024,Glenwood,Lucerne,120kV_line,7.7,7700.0,20000
L0025,Val-TÃƒÂ©treau,Hull-2,120kV_line,1.65,1650.0,10000
L0026,Dorion,Coteau-du-Lac,120kV_line,14.4,14400.0,20000
L0027,Vaudreuil-Soulanges,Dorion,120kV_line,18.375,18375.0,10000
L0028,Calumet,Lachute,120kV_line,22.8,22800.0,20000
L0029,SGL Canada,Lafontaine,120kV_line,28.875,28875.0,10000
L0030,Lachute,SGL Canada,120kV_line,7.875,7875.0,20000
L0031,Paquin,Achigan,120kV_line,21.0,21000.0,10000
L0032,Lafontaine,Paquin,120kV_line,18.375,18375.0,20000
L0033,Achigan,Saint-Lin,120kV_line,21.0,21000.0,10000
L0034,Lafontaine,Lachute,120kV_line,26.25,26250.0,20000
L0035,Paquin,Arthur-Buies,120kV_line,5.25,5250.0,10000
L0036,Saint-JÃƒÂ©rÃƒÂ´me,Cascades Groupe Papiers,120kV_line,2.625,2625.0,20000
L0037,Rolland,Lafontaine,120kV_line,7.875,7875.0,10000
