mrc,superficie_km2,population
La Haute-Yamaska,636,98256
Acton,579,16387
Drummond,1599,115697
Nicolet-Yamaska,1000,24501
Maskinongé,2380,38790
D'Autray,1233,47621
Pierre-De Saurel,594,54101
Les Maskoutains,1303,94474
Rouville,482,39391
Le Haut-Richelieu,936,125726
La Vallée-du-Richelieu,587,136696
Longueuil,282,458178
Marguerite-D'Youville,348,83645
L'Assomption,255,136053
Joliette,418,75506
Matawinie,9425,60977
Montcalm,708,65409
Les Moulins,261,183769
Laval,246,461509
Montréal,497,2172259
Roussillon,375,208495
Les Jardins-de-Napierville,802,32623
Le Haut-Saint-Laurent,1157,26614
Beauharnois-Salaberry,468,75400
Vaudreuil-Soulanges,854,170642
Deux-Montagnes,231,109780
Thérèse-De Blainville,207,169311
Mirabel,484,68471
La Rivière-du-Nord,448,150532
Argenteuil,1234,38470
Les Pays-d'en-Haut,674,50283
Les Laurentides,2386,54168
Antoine-Labelle,14796,38175
Papineau,3015,27136
Gatineau,342,306105
Les Collines-de-l'Outaouais,1913,58699
La Vallée-de-la-Gatineau,12178,21823
Pontiac,12825,14988
Témiscamingue,16310,16214
Rouyn-Noranda,5962,43270
Abitibi-Ouest,3312,20417
Abitibi,7623,25168
La Vallée-de-l'Or,24101,44372
La Tuque,24776,15584
Le Domaine-du-Roy,17390,31300
Maria-Chapdelaine,35492,24331
Lac-Saint-Jean-Est,2770,53828
Le Saguenay-et-son-Fjord,40051,176936
La Haute-Côte-Nord,11260,10047
Manicouagan,34236,30169
Sept-Rivières--Caniapiscau,94514,38195
Minganie--Le Golfe-du-Saint-Laurent,95449,11210
Nord-du-Québec,697366,47541
Les Îles-de-la-Madeleine,205,12883
Le Rocher-Percé,3074,17050
La Côte-de-Gaspé,4085,17949
La Haute-Gaspésie,5055,10942
Bonaventure,4385,18026
Avignon,3440,15234
La Matapédia,5354,17778
Matane,3315,21182
La Mitis,2284,18547
Rimouski-Neigette,2693,60269
Les Basques,976,8975
Rivière-du-Loup,1282,36440
Témiscouata,3899,20039
Kamouraska,2242,21525
Charlevoix-Est,2283,15503
Charlevoix,3713,14306
L'Islet,2099,17812
Montmagny,1692,22985
Bellechasse,1753,39599
L'Île-d'Orléans,191,6745
La Côte-de-Beaupré,4852,32694
La Jacques-Cartier,3179,51680
Québec,453,633881
Lévis,448,160882
La Nouvelle-Beauce,905,41061
Robert-Cliche,838,19986
Les Etchemins,1808,17652
Beauce-Sartigan,1953,56156
Le Granit,2640,21875
Les Appalaches,1913,45260
L'Érable,1287,24549
Lotbinière,1663,37765
Portneuf,3874,59195
Mékinac,5164,13175
Shawinigan,737,51739
Francheville,1160,170434
Bécancour,1143,22429
Arthabaska,1885,77644
Les Sources,786,15095
Le Haut-Saint-François,2272,24345
Le Val-Saint-François,1397,33367
Sherbrooke,354,184135
Coaticook,1339,19683
Memphrémagog,1317,60180
Brome-Missisquoi,1651,70404
