era5_cell_id,era5_latitude,era5_longitude,weibull_k,weibull_c,sample_count,weibull_method,best_model_by_energy,annual_energy_park_mwh,total_annual_cost_per_mwh_cad,om_cost_per_mwh_cad,best_model_rank_total_cost,best_model_rank_om_cost,best_model_by_total_cost,min_total_annual_cost_per_mwh_cad,ranking_model_count
49.0000_-60.3000,49.0,-60.3,2.283852582093756,11.655340490626948,87600,mle,E92-2.35,1154088.079818662,22.61444998238989,8.792281398423157,5,5,V117-3.45,22.01348312451314,17
49.0000_-61.8000,49.0,-61.8,2.2501479784330742,11.223158288503996,87600,mle,E92-2.35,1110364.3259507706,23.504958279332055,9.138502488940198,5,5,V117-3.45,23.0409943109437,17
50.5000_-58.8000,50.5,-58.8,2.2282859907055084,11.006802559200114,87600,mle,E92-2.35,1086923.4889821673,24.01187150787549,9.33558549354158,4,5,V117-3.45,23.625871947673854,17
49.0000_-63.3000,49.0,-63.3,2.114555611260263,10.992904527572072,87600,mle,E92-2.35,1070086.9323531226,24.389670004603868,9.48246992795072,3,5,V117-3.45,23.985917760901,17
53.5000_-79.8000,53.5,-79.8,2.241232375971423,10.28021364625614,87600,mle,E92-2.35,1014131.1263731521,25.73539700893502,10.005675688725368,2,5,V117-3.45,25.7026838785684,17
53.5000_-67.8000,53.5,-67.8,2.3996826536052263,9.913829736613106,87600,mle,E92-2.35,988373.4766440372,26.40607803939594,10.26643004503245,1,5,E92-2.35,26.40607803939594,17
52.0000_-79.8000,52.0,-79.8,2.251542399519459,9.969038858791192,87600,mle,E92-2.35,980415.8615895689,26.62040484944476,10.349758254502195,1,5,E92-2.35,26.62040484944476,17
59.5000_-70.8000,59.5,-70.8,2.2802086618546853,9.941726981187522,87600,mle,E92-2.35,980129.0864146344,26.62819369212206,10.352786481880715,1,5,E92-2.35,26.62819369212206,17
58.0000_-79.8000,58.0,-79.8,2.265603104085524,9.943036729972025,87600,mle,E92-2.35,978828.0715335525,26.663586706745665,10.366546946731798,1,5,E92-2.35,26.663586706745665,17
56.5000_-78.3000,56.5,-78.3,2.2427769509358297,9.824428735577253,87600,mle,E92-2.35,962763.8753549986,27.108481969899472,10.539517960818802,1,5,E92-2.35,27.108481969899472,17
53.5000_-64.8000,53.5,-64.8,2.370527321354405,9.66148772623874,87600,mle,E92-2.35,954676.1982661443,27.33813538426108,10.62880500714309,1,5,E92-2.35,27.33813538426108,17
55.0000_-73.8000,55.0,-73.8,2.3407055200329987,9.631386587606205,87600,mle,E92-2.35,948349.8510053885,27.52050535850533,10.69970870515154,1,5,E92-2.35,27.52050535850533,17
58.0000_-78.3000,58.0,-78.3,2.2099294823209403,9.658275915835182,87600,mle,E92-2.35,940050.5246287987,27.763472784228657,10.794172111481277,1,5,E92-2.35,27.763472784228657,17
53.5000_-66.3000,53.5,-66.3,2.3879362805590523,9.41273348989185,87600,mle,E92-2.35,924282.148497467,28.237121314913125,10.9783221203902,1,5,E92-2.35,28.237121314913125,17
53.5000_-70.8000,53.5,-70.8,2.3436211244412477,9.418190367417813,87600,mle,E92-2.35,921574.3741199652,28.32008776421782,11.010578680663961,1,5,E92-2.35,28.32008776421782,17
59.5000_-78.3000,59.5,-78.3,2.1932530320237156,9.49975581167719,87600,mle,E92-2.35,919523.0427203669,28.383266045316958,11.035141790804817,1,5,E92-2.35,28.383266045316958,17
47.5000_-64.8000,47.5,-64.8,2.230906433443069,9.472438918212628,87600,mle,E92-2.35,919351.3435405134,28.388566938752078,11.037202727364447,1,5,E92-2.35,28.388566938752078,17
58.0000_-73.8000,58.0,-73.8,2.316985364036237,9.409833664675354,87600,mle,E92-2.35,918424.116477266,28.41722760551831,11.048345719896714,1,5,E92-2.35,28.41722760551831,17
55.0000_-75.3000,55.0,-75.3,2.349539122589431,9.359483391049858,87600,mle,E92-2.35,914421.8556774618,28.541604724654878,11.096702351688576,1,5,E92-2.35,28.541604724654878,17
61.0000_-73.8000,61.0,-73.8,2.2226460568007305,9.404367822439227,87600,mle,E92-2.35,910246.4160661692,28.67252943343013,11.147604623574695,1,5,E92-2.35,28.67252943343013,17
55.0000_-78.3000,55.0,-78.3,2.232223230581167,9.388367012306354,87600,mle,E92-2.35,909019.5327100903,28.711228105870845,11.162650296501036,1,5,E92-2.35,28.711228105870845,17
58.0000_-70.8000,58.0,-70.8,2.43830715272494,9.255660097046718,87600,mle,E92-2.35,907013.2721465122,28.774735671250106,11.187341429213884,1,5,E92-2.35,28.774735671250106,17
59.5000_-72.3000,59.5,-72.3,2.254509721292801,9.355235990636881,87600,mle,E92-2.35,906606.9820949157,28.787630882815247,11.192354963872528,1,5,E92-2.35,28.787630882815247,17
59.5000_-66.3000,59.5,-66.3,2.1076294267809503,9.429568032192366,87600,mle,E92-2.35,903793.0284855362,28.877260980940616,11.227202286938098,1,5,E92-2.35,28.877260980940616,17
58.0000_-75.3000,58.0,-75.3,2.3126826459781022,9.267829531610627,87600,mle,E92-2.35,899743.6911432244,29.007224405396784,11.277730820694664,1,5,E92-2.35,29.007224405396784,17
55.0000_-70.8000,55.0,-70.8,2.34132791951337,9.235605563483428,87600,mle,E92-2.35,897558.1336738778,29.077857107152525,11.305192138137759,1,5,E92-2.35,29.077857107152525,17
53.5000_-69.3000,53.5,-69.3,2.380526460449466,9.184574771320873,87600,mle,E92-2.35,893444.5273989965,29.211737669166048,11.357243617431687,1,5,E92-2.35,29.211737669166048,17
59.5000_-75.3000,59.5,-75.3,2.2333025216265194,9.200688830109964,87600,mle,E92-2.35,885311.9154497123,29.48008120174681,11.461573010882963,1,5,E92-2.35,29.48008120174681,17
55.0000_-76.8000,55.0,-76.8,2.3380314571196923,9.140155828614242,87600,mle,E92-2.35,884617.1647648116,29.503233936536084,11.470574572254957,1,5,E92-2.35,29.503233936536084,17
55.0000_-67.8000,55.0,-67.8,2.444704430869388,9.074638374812121,87600,mle,E92-2.35,882489.1776734416,29.574376453134573,11.498234100822444,1,5,E92-2.35,29.574376453134573,17
56.5000_-73.8000,56.5,-73.8,2.3175310442507957,9.12220491846286,87600,mle,E92-2.35,880849.8851360226,29.629415405215447,11.519632717854748,1,5,E92-2.35,29.629415405215447,17
59.5000_-76.8000,59.5,-76.8,2.209073462286995,9.14142915088142,87600,mle,E92-2.35,875975.2489859693,29.79429748334083,11.58373728946998,1,5,E92-2.35,29.79429748334083,17
