mesh_point_id,mesh_ix,mesh_iy,x_m,y_m,latitude,longitude,longitude_norm,era5_latitude,era5_longitude_norm,era5_longitude,distance_to_cell_center_km,era5_cell_id
28,30,0,-300000.0,120000.0,45.00483917380086,-72.2987455540419,-72.2987455540419,44.5,-72.3,-72.3,56.135719833938644,44.5000_-72.3000
29,31,0,-280000.0,120000.0,45.01405087903341,-72.0459249521263,-72.0459249521263,44.5,-72.3,-72.3,60.57818106142386,44.5000_-72.3000
30,32,0,-260000.0,120000.0,45.02262895921765,-71.79301572662676,-71.79301572662676,44.5,-72.3,-72.3,70.56502654255014,44.5000_-72.3000
31,33,0,-240000.0,120000.0,45.030573058157664,-71.54002415214781,-71.54002415214781,44.5,-72.3,-72.3,84.1450027082282,44.5000_-72.3000
107,22,1,-460000.0,140000.0,45.08736686686847,-74.33796047610949,-74.33796047610949,44.5,-75.3,-75.3,100.14170834273638,44.5000_-75.3000
108,23,1,-440000.0,140000.0,45.10168746126792,-74.085188897844,-74.085188897844,44.5,-75.3,-75.3,116.8871121007216,44.5000_-75.3000
109,24,1,-420000.0,140000.0,45.11537576900766,-73.832277584818,-73.832277584818,44.5,-75.3,-75.3,134.49327230514066,44.5000_-75.3000
110,25,1,-400000.0,140000.0,45.128431221993246,-73.57923274441639,-73.57923274441639,44.5,-73.8,-73.8,72.01561514674769,44.5000_-73.8000
111,26,1,-380000.0,140000.0,45.140853277979346,-73.32606060393684,-73.32606060393684,44.5,-73.8,-73.8,80.4687683851206,44.5000_-73.8000
112,27,1,-360000.0,140000.0,45.15264142065082,-73.07276740969058,-73.07276740969058,44.5,-73.8,-73.8,92.49695759596939,44.5000_-73.8000
113,28,1,-340000.0,140000.0,45.163795159700186,-72.81935942609621,-72.81935942609621,44.5,-73.8,-73.8,106.90041303860353,44.5000_-73.8000
114,29,1,-320000.0,140000.0,45.17431403090117,-72.56584293476658,-72.56584293476658,44.5,-73.8,-73.8,122.84668369043975,44.5000_-73.8000
115,30,1,-300000.0,140000.0,45.18419759617859,-72.31222423358957,-72.31222423358957,44.5,-73.8,-73.8,139.80902134940808,44.5000_-73.8000
116,31,1,-280000.0,140000.0,45.19344544367419,-72.0585096358026,-72.0585096358026,44.5,-72.3,-72.3,79.42317895846641,44.5000_-72.3000
117,32,1,-260000.0,140000.0,45.20205718780886,-71.80470546906137,-71.80470546906137,44.5,-72.3,-72.3,87.28452280152368,44.5000_-72.3000
118,33,1,-240000.0,140000.0,45.21003246934076,-71.55081807450341,-71.55081807450341,44.5,-72.3,-72.3,98.593538286814,44.5000_-72.3000
197,22,2,-460000.0,160000.0,45.266410525759404,-74.35869511557597,-74.35869511557597,44.5,-75.3,-75.3,112.97044537502288,44.5000_-75.3000
198,23,2,-440000.0,160000.0,45.280787230163334,-74.10503328118095,-74.10503328118095,44.5,-75.3,-75.3,128.0567663630718,44.5000_-75.3000
199,24,2,-420000.0,160000.0,45.29452918995623,-73.85123022342272,-73.85123022342272,44.5,-75.3,-75.3,144.3144220008294,44.5000_-75.3000
200,25,2,-400000.0,160000.0,45.3076358321973,-73.59729221477772,-73.59729221477772,44.5,-73.8,-73.8,91.21307892912726,44.5000_-73.8000
201,26,2,-380000.0,160000.0,45.32010661001123,-73.34322554798888,-73.34322554798888,44.5,-73.8,-73.8,98.02944986237372,44.5000_-73.8000
202,27,2,-360000.0,160000.0,45.33194100267055,-73.08903653515074,-73.08903653515074,44.5,-73.8,-73.8,108.12727121947,44.5000_-73.8000
203,28,2,-340000.0,160000.0,45.34313851567428,-72.8347315067875,-72.8347315067875,44.5,-73.8,-73.8,120.68588321387341,44.5000_-73.8000
204,29,2,-320000.0,160000.0,45.353698680822745,-72.58031681092405,-72.58031681092405,44.5,-73.8,-73.8,135.02055741346592,44.5000_-73.8000
205,30,2,-300000.0,160000.0,45.36362105628838,-72.32579881215044,-72.32579881215044,44.5,-73.8,-73.8,150.6252267961349,44.5000_-73.8000
206,31,2,-280000.0,160000.0,45.3729052266828,-72.07118389068023,-72.07118389068023,44.5,-72.3,-72.3,98.71956396164315,44.5000_-72.3000
207,32,2,-260000.0,160000.0,45.381550803119836,-71.81647844140288,-71.81647844140288,44.5,-72.3,-72.3,105.15201250897235,44.5000_-72.3000
208,33,2,-240000.0,160000.0,45.38955742327463,-71.56168887293056,-71.56168887293056,44.5,-72.3,-72.3,114.71785082167897,44.5000_-72.3000
209,34,2,-220000.0,160000.0,45.396924751438824,-71.30682160663989,-71.30682160663989,44.5,-72.3,-72.3,126.70953909052676,44.5000_-72.3000
210,35,2,-200000.0,160000.0,45.403652478571615,-71.05188307570879,-71.05188307570879,44.5,-72.3,-72.3,140.50745063902173,44.5000_-72.3000
287,22,3,-460000.0,180000.0,45.44551582655045,-74.37957723338748,-74.37957723338748,44.5,-75.3,-75.3,127.65413273291128,44.5000_-75.3000
288,23,3,-440000.0,180000.0,45.45994892058542,-74.12501889141028,-74.12501889141028,44.5,-75.3,-75.3,141.1870209712524,44.5000_-75.3000
289,24,3,-420000.0,180000.0,45.47374480006662,-73.87031781629214,-73.87031781629214,44.5,-75.3,-75.3,156.0902474386413,44.5000_-75.3000
290,25,3,-400000.0,180000.0,45.48690288714822,-73.61548034650839,-73.61548034650839,44.5,-73.8,-73.8,110.69375352713364,44.5000_-73.8000
291,26,3,-380000.0,180000.0,45.499422630268654,-73.360512841162,-73.360512841162,44.5,-73.8,-73.8,116.37886697958714,44.5000_-73.8000
292,27,3,-360000.0,180000.0,45.511303504234604,-73.10542167905295,-73.10542167905295,44.5,-73.8,-73.8,125.00820650292106,44.5000_-73.8000
293,28,3,-340000.0,180000.0,45.522545010300576,-72.85021325774007,-72.85021325774007,44.5,-73.8,-73.8,136.02277343574337,44.5000_-73.8000
294,29,3,-320000.0,180000.0,45.53314667624507,-72.59489399259574,-72.59489399259574,44.5,-73.8,-73.8,148.89432732870858,44.5000_-73.8000
295,30,3,-300000.0,180000.0,45.54310805644248,-72.33947031585403,-72.33947031585403,44.5,-73.8,-73.8,163.18417583506667,44.5000_-73.8000
296,31,3,-280000.0,180000.0,45.552428731931165,-72.08394867565231,-72.08394867565231,44.5,-72.3,-72.3,118.25016885081038,44.5000_-72.3000
297,32,3,-260000.0,180000.0,45.561108310477515,-71.8283355350669,-71.8283355350669,44.5,-72.3,-72.3,123.67436831391278,44.5000_-72.3000
298,33,3,-240000.0,180000.0,45.569146426636024,-71.57263737114305,-71.57263737114305,44.5,-72.3,-72.3,131.90804518843098,44.5000_-72.3000
299,34,3,-220000.0,180000.0,45.576542741805255,-71.31686067391958,-71.31686067391958,44.5,-72.3,-72.3,142.46503903167908,44.5000_-72.3000
300,35,3,-200000.0,180000.0,45.58329694427983,-71.06101194544861,-71.06101194544861,44.5,-72.3,-72.3,154.8710620533889,44.5000_-72.3000
301,36,3,-180000.0,180000.0,45.589408749298286,-70.80509769881067,-70.80509769881067,44.5,-72.3,-72.3,168.71880527818718,44.5000_-72.3000
371,16,4,-580000.0,200000.0,45.52434497923144,-75.92999002916416,-75.92999002916416,44.5,-76.8,-76.8,132.85539310672056,44.5000_-76.8000
372,17,4,-560000.0,200000.0,45.542659212789246,-75.67552766961968,-75.67552766961968,44.5,-76.8,-76.8,145.78037893883442,44.5000_-76.8000
373,18,4,-540000.0,200000.0,45.560337797997796,-75.42088310614473,-75.42088310614473,44.5,-76.8,-76.8,160.14272428485583,44.5000_-76.8000
377,22,4,-460000.0,200000.0,45.624681247825144,-74.40060840500897,-74.40060840500897,44.5,-75.3,-75.3,143.6279026345678,44.5000_-75.3000
378,23,4,-440000.0,200000.0,45.63917101352111,-74.14514723837253,-74.14514723837253,44.5,-75.3,-75.3,155.78561813996325,44.5000_-75.3000
379,24,4,-420000.0,200000.0,45.65302108262967,-73.88954180726539,-73.88954180726539,44.5,-75.3,-75.3,169.4161194366176,44.5000_-75.3000
380,25,4,-400000.0,200000.0,45.666230872340144,-73.63379851708473,-73.63379851708473,44.5,-73.8,-73.8,130.33391263877493,44.5000_-73.8000
381,26,4,-380000.0,200000.0,45.67879982634777,-73.37792379422443,-73.37792379422443,44.5,-73.8,-73.8,135.1993373348485,44.5000_-73.8000
382,27,4,-360000.0,200000.0,45.69072741493875,-73.12192408512814,-73.12192408512814,44.5,-73.8,-73.8,142.6995314865049,44.5000_-73.8000
383,28,4,-340000.0,200000.0,45.70201313507127,-72.86580585533453,-72.86580585533453,44.5,-73.8,-73.8,152.44628345672172,44.5000_-73.8000
384,29,4,-320000.0,200000.0,45.71265651045286,-72.60957558851555,-72.60957558851555,44.5,-73.8,-73.8,164.03978123308818,44.5000_-73.8000
385,30,4,-300000.0,200000.0,45.72265709161329,-72.35323978550763,-72.35323978550763,44.5,-73.8,-73.8,177.11787974331614,44.5000_-73.8000
386,31,4,-280000.0,200000.0,45.73201445597392,-72.09680496333637,-72.09680496333637,44.5,-72.3,-72.3,137.91852334979106,44.5000_-72.3000
387,32,4,-260000.0,200000.0,45.74072820791263,-71.84027765423508,-71.84027765423508,44.5,-72.3,-72.3,142.5995287627381,44.5000_-72.3000
388,33,4,-240000.0,200000.0,45.74879797882497,-71.5836644046575,-71.5836644046575,44.5,-72.3,-72.3,149.80037791372968,44.5000_-72.3000
389,34,4,-220000.0,200000.0,45.756223427180856,-71.32697177428497,-71.32697177428497,44.5,-72.3,-72.3,159.17957601274625,44.5000_-72.3000
390,35,4,-200000.0,200000.0,45.7630042385776,-71.07020633502877,-71.07020633502877,44.5,-72.3,-72.3,170.37784316209078,44.5000_-72.3000
391,36,4,-180000.0,200000.0,45.76914012578832,-70.81337467002747,-70.81337467002747,44.5,-72.3,-72.3,183.06172815631876,44.5000_-72.3000
392,37,4,-160000.0,200000.0,45.774630828806515,-70.55648337264014,-70.55648337264014,44.5,-70.8,-70.8,143.01377102632213,44.5000_-70.8000
459,14,5,-620000.0,220000.0,45.66449190282722,-76.46673480010412,-76.46673480010412,44.5,-76.8,-76.8,132.10270701722644,44.5000_-76.8000
460,15,5,-600000.0,220000.0,45.68415181306077,-76.21176112830184,-76.21176112830184,44.5,-76.8,-76.8,139.53305669379588,44.5000_-76.8000
461,16,5,-580000.0,220000.0,45.7031751857951,-75.95659073494522,-75.95659073494522,44.5,-76.8,-76.8,149.26602045720963,44.5000_-76.8000
462,17,5,-560000.0,220000.0,45.72156122293136,-75.7012298886586,-75.7012298886586,44.5,-76.8,-76.8,160.88450781419567,44.5000_-76.8000
463,18,5,-540000.0,220000.0,45.73930915227016,-75.44568488682829,-75.44568488682829,44.5,-76.8,-76.8,174.011483149299,44.5000_-76.8000
464,19,5,-520000.0,220000.0,45.75641822762859,-75.18996205471323,-75.18996205471323,44.5,-75.3,-75.3,139.97393180549926,44.5000_-75.3000
465,20,5,-500000.0,220000.0,45.772887728953485,-74.93406774454526,-74.93406774454526,44.5,-75.3,-75.3,144.41952382646906,44.5000_-75.3000
466,21,5,-480000.0,220000.0,45.78871696243115,-74.67800833461932,-74.67800833461932,44.5,-75.3,-75.3,151.37321764647078,44.5000_-75.3000
467,22,5,-460000.0,220000.0,45.803905260593055,-74.42179022837385,-74.42179022837385,44.5,-75.3,-75.3,160.509595524709,44.5000_-75.3000
468,23,5,-440000.0,220000.0,45.81845198241791,-74.16541985346169,-74.16541985346169,44.5,-75.3,-75.3,171.48033250937507,44.5000_-75.3000
469,24,5,-420000.0,220000.0,45.83235651342989,-73.90890366081183,-73.90890366081183,44.5,-75.3,-75.3,183.95770475111863,44.5000_-75.3000
470,25,5,-400000.0,220000.0,45.845618265792794,-73.65224812368251,-73.65224812368251,44.5,-73.8,-73.8,150.07365094465496,44.5000_-73.8000
471,26,5,-380000.0,220000.0,45.85823667840054,-73.3954597367056,-73.3954597367056,44.5,-73.8,-73.8,154.32123117725845,44.5000_-73.8000
472,27,5,-360000.0,220000.0,45.87021121696349,-73.13854501492301,-73.13854501492301,44.5,-73.8,-73.8,160.93672254059783,44.5000_-73.8000
