top_rank,mesh_point_id,mesh_ix,mesh_iy,x_m,y_m,latitude,longitude,longitude_norm,era5_latitude,era5_longitude_norm,era5_longitude,distance_to_cell_center_km,era5_cell_id,weibull_k,weibull_c,sample_count,weibull_method,best_model_by_energy,annual_energy_park_mwh,total_annual_cost_per_mwh_cad,om_cost_per_mwh_cad,best_model_rank_total_cost,best_model_rank_om_cost,best_model_by_total_cost,min_total_annual_cost_per_mwh_cad,ranking_model_count
1,2727,74,31,580000.0,740000.0,50.3673883699425,-60.278398219688,-60.278398219688,49.0,-60.3,-60.3,152.05479991054483,49.0000_-60.3000,2.283852582093756,11.655340490626948,87600,mle,E92-2.35,1154088.079818662,22.61444998238989,8.792281398423157,5,5,V117-3.45,22.01348312451314,17
2,2559,69,29,480000.0,700000.0,50.10203919381444,-61.73996063506311,-61.73996063506311,49.0,-61.8,-61.8,122.61784493932728,49.0000_-61.8000,2.2501479784330742,11.223158288503996,87600,mle,E92-2.35,1110364.3259507706,23.504958279332055,9.138502488940198,5,5,V117-3.45,23.0409943109437,17
3,3132,79,36,680000.0,840000.0,51.15139216306932,-58.68373892096071,-58.68373892096071,50.5,-58.8,-58.8,72.89046251805983,50.5000_-58.8000,2.2282859907055084,11.006802559200114,87600,mle,E92-2.35,1086923.4889821673,24.01187150787549,9.33558549354158,4,5,V117-3.45,23.625871947673854,17
4,2145,65,24,400000.0,600000.0,49.26318738037435,-62.970221474042575,-62.970221474042575,49.0,-63.3,-63.3,37.8437515030337,49.0000_-63.3000,2.114555611260263,10.992904527572072,87600,mle,E92-2.35,1070086.9323531226,24.389670004603868,9.48246992795072,3,5,V117-3.45,23.985917760901,17
5,4139,11,50,-680000.0,1120000.0,53.66092681793199,-78.89978842365126,-78.89978842365126,53.5,-79.8,-79.8,62.063269942140344,53.5000_-79.8000,2.241232375971423,10.28021364625614,87600,mle,E92-2.35,1014131.1263731521,25.73539700893502,10.005675688725368,2,5,V117-3.45,25.7026838785684,17
6,3951,48,47,60000.0,1060000.0,53.562409488390394,-67.58768813550236,-67.58768813550236,53.5,-67.8,-67.8,15.654471187070436,53.5000_-67.8000,2.3996826536052263,9.913829736613106,87600,mle,E92-2.35,988373.4766440372,26.40607803939594,10.26643004503245,1,5,E92-2.35,26.40607803939594,17
7,3455,11,41,-680000.0,940000.0,52.047912132520125,-78.5170429874098,-78.5170429874098,52.0,-79.8,-79.8,87.94270429532617,52.0000_-79.8000,2.251542399519459,9.969038858791192,87600,mle,E92-2.35,980415.8615895689,26.62040484944476,10.349758254502195,1,5,E92-2.35,26.62040484944476,17
8,6263,39,80,-120000.0,1720000.0,59.50818897491503,-70.62175433881085,-70.62175433881085,59.5,-70.8,-70.8,10.09934064212774,59.5000_-70.8000,2.2802086618546853,9.941726981187522,87600,mle,E92-2.35,980129.0864146344,26.62819369212206,10.352786481880715,1,5,E92-2.35,26.62819369212206,17
9,6043,16,77,-580000.0,1660000.0,58.61788169684696,-78.54181662984819,-78.54181662984819,58.0,-79.8,-79.8,100.60619405818596,58.0000_-79.8000,2.265603104085524,9.943036729972025,87600,mle,E92-2.35,978828.0715335525,26.663586706745665,10.366546946731798,1,5,E92-2.35,26.663586706745665,17
10,5713,20,72,-500000.0,1560000.0,57.81737126965165,-76.96709713281973,-76.96709713281973,56.5,-78.3,-78.3,167.08062079868432,56.5000_-78.3000,2.2427769509358297,9.824428735577253,87600,mle,E92-2.35,962763.8753549986,27.108481969899472,10.539517960818802,1,5,E92-2.35,27.108481969899472,17
