 ID,PARAM,dateTime,AlaBaleine-1,SYM
99XXX,1,2025/01/01,137.4,
99XXX,1,2025/01/02,135.1,
99XXX,1,2025/01/03,133,
99XXX,1,2025/01/04,131,
99XXX,1,2025/01/05,129.1,
99XXX,1,2025/01/06,127.1,
99XXX,1,2025/01/07,125.1,
99XXX,1,2025/01/08,123.5,
99XXX,1,2025/01/09,121.7,
99XXX,1,2025/01/10,119.9,
99XXX,1,2025/01/11,118.2,
99XXX,1,2025/01/12,116.5,
99XXX,1,2025/01/13,114.8,
99XXX,1,2025/01/14,113.2,
99XXX,1,2025/01/15,111.7,
99XXX,1,2025/01/16,110.1,
99XXX,1,2025/01/17,108.7,
99XXX,1,2025/01/18,107.2,
99XXX,1,2025/01/19,105.8,
99XXX,1,2025/01/20,104.4,
99XXX,1,2025/01/21,103.1,
99XXX,1,2025/01/22,101.8,
99XXX,1,2025/01/23,100.6,
99XXX,1,2025/01/24,100.7,
99XXX,1,2025/01/25,98.1,
99XXX,1,2025/01/26,96.9,
99XXX,1,2025/01/27,95.8,
99XXX,1,2025/01/28,94.7,
99XXX,1,2025/01/29,93.6,
99XXX,1,2025/01/30,92.4,
99XXX,1,2025/01/31,91.5,
99XXX,1,2025/02/01,90.5,
99XXX,1,2025/02/02,89.4,
99XXX,1,2025/02/03,88.4,
99XXX,1,2025/02/04,87.5,
99XXX,1,2025/02/05,86.5,
99XXX,1,2025/02/06,85.6,
99XXX,1,2025/02/07,88,
99XXX,1,2025/02/08,83.8,
99XXX,1,2025/02/09,83,
99XXX,1,2025/02/10,82.1,
99XXX,1,2025/02/11,81.4,
99XXX,1,2025/02/12,80.6,
99XXX,1,2025/02/13,79.7,
99XXX,1,2025/02/14,79,
99XXX,1,2025/02/15,78.3,
99XXX,1,2025/02/16,77.6,
99XXX,1,2025/02/17,76.8,
99XXX,1,2025/02/18,76.1,
99XXX,1,2025/02/19,75.4,
99XXX,1,2025/02/20,74.8,
99XXX,1,2025/02/21,74.1,
99XXX,1,2025/02/22,73.4,
99XXX,1,2025/02/23,72.8,
99XXX,1,2025/02/24,72.2,
99XXX,1,2025/02/25,71.6,
99XXX,1,2025/02/26,71,
99XXX,1,2025/02/27,70.5,
99XXX,1,2025/02/28,69.9,
99XXX,1,2025/03/01,69,
99XXX,1,2025/03/02,68.5,
99XXX,1,2025/03/03,68,
99XXX,1,2025/03/04,67.5,
99XXX,1,2025/03/05,67,
99XXX,1,2025/03/06,66.6,
99XXX,1,2025/03/07,66,
99XXX,1,2025/03/08,65.6,
99XXX,1,2025/03/09,65.2,
99XXX,1,2025/03/10,64.8,
99XXX,1,2025/03/11,64.4,
99XXX,1,2025/03/12,64,
99XXX,1,2025/03/13,63.6,
99XXX,1,2025/03/14,63.2,
99XXX,1,2025/03/15,62.9,
99XXX,1,2025/03/16,62.5,
99XXX,1,2025/03/17,62.2,
99XXX,1,2025/03/18,61.9,
99XXX,1,2025/03/19,61.5,
99XXX,1,2025/03/20,61.2,
99XXX,1,2025/03/21,61,
99XXX,1,2025/03/22,60.6,
99XXX,1,2025/03/23,60.3,
99XXX,1,2025/03/24,60.1,
99XXX,1,2025/03/25,59.9,
99XXX,1,2025/03/26,59.6,
99XXX,1,2025/03/27,59.3,
99XXX,1,2025/03/28,59,
99XXX,1,2025/03/29,58.8,
99XXX,1,2025/03/30,58.5,
99XXX,1,2025/03/31,58.3,
99XXX,1,2025/04/01,58.1,
99XXX,1,2025/04/02,57.9,
99XXX,1,2025/04/03,57.8,
99XXX,1,2025/04/04,57.7,
99XXX,1,2025/04/05,57.6,
99XXX,1,2025/04/06,57.7,
99XXX,1,2025/04/07,57.7,
99XXX,1,2025/04/08,57.8,
99XXX,1,2025/04/09,57.9,
99XXX,1,2025/04/10,58,
99XXX,1,2025/04/11,58.1,
99XXX,1,2025/04/12,58.2,
99XXX,1,2025/04/13,58.2,
99XXX,1,2025/04/14,58.4,
99XXX,1,2025/04/15,58.5,
99XXX,1,2025/04/16,58.6,
99XXX,1,2025/04/17,58.9,
99XXX,1,2025/04/18,59,
99XXX,1,2025/04/19,59.2,
99XXX,1,2025/04/20,59.4,
99XXX,1,2025/04/21,59.8,
99XXX,1,2025/04/22,61.9,
99XXX,1,2025/04/23,64.4,
99XXX,1,2025/04/24,76,
99XXX,1,2025/04/25,78.8,
99XXX,1,2025/04/26,81.8,
99XXX,1,2025/04/27,85.1,
99XXX,1,2025/04/28,92.7,
99XXX,1,2025/04/29,106.2,
99XXX,1,2025/04/30,122.2,
99XXX,1,2025/05/01,133.4,
99XXX,1,2025/05/02,146,
99XXX,1,2025/05/03,162.4,
99XXX,1,2025/05/04,181.3,
99XXX,1,2025/05/05,191.9,
99XXX,1,2025/05/06,205.8,
99XXX,1,2025/05/07,260.6,
99XXX,1,2025/05/08,286.8,
99XXX,1,2025/05/09,313.1,
99XXX,1,2025/05/10,345,
99XXX,1,2025/05/11,384.7,
99XXX,1,2025/05/12,437.8,
99XXX,1,2025/05/13,506.3,
99XXX,1,2025/05/14,589.3,
99XXX,1,2025/05/15,672.5,
99XXX,1,2025/05/16,780.5,
99XXX,1,2025/05/17,855.5,
99XXX,1,2025/05/18,927.8,
99XXX,1,2025/05/19,998.6,
99XXX,1,2025/05/20,1112.9,
99XXX,1,2025/05/21,1245.7,
99XXX,1,2025/05/22,1339.3,
99XXX,1,2025/05/23,1433.8,
99XXX,1,2025/05/24,1533.8,
99XXX,1,2025/05/25,1624.2,
99XXX,1,2025/05/26,1699.8,
99XXX,1,2025/05/27,1774.6,
99XXX,1,2025/05/28,1795.6,
99XXX,1,2025/05/29,1842.8,
99XXX,1,2025/05/30,1897.5,
99XXX,1,2025/05/31,1965.2,
99XXX,1,2025/06/01,2033.9,
99XXX,1,2025/06/02,2090.5,
99XXX,1,2025/06/03,2155.2,
99XXX,1,2025/06/04,2194.1,
99XXX,1,2025/06/05,2226.2,
99XXX,1,2025/06/06,2257.2,
99XXX,1,2025/06/07,2276.9,
99XXX,1,2025/06/08,2298.3,
99XXX,1,2025/06/09,2318.2,
99XXX,1,2025/06/10,2310.9,
99XXX,1,2025/06/11,2314,
99XXX,1,2025/06/12,2267.4,
99XXX,1,2025/06/13,2209.5,
99XXX,1,2025/06/14,2143,
99XXX,1,2025/06/15,2072.4,
99XXX,1,2025/06/16,2005.1,
99XXX,1,2025/06/17,1926.2,
99XXX,1,2025/06/18,1872.7,
99XXX,1,2025/06/19,1803,
99XXX,1,2025/06/20,1732.1,
99XXX,1,2025/06/21,1655.6,
99XXX,1,2025/06/22,1586.4,
99XXX,1,2025/06/23,1534.3,
99XXX,1,2025/06/24,1486.9,
99XXX,1,2025/06/25,1443,
99XXX,1,2025/06/26,1390,
99XXX,1,2025/06/27,1331.6,
99XXX,1,2025/06/28,1271.3,
99XXX,1,2025/06/29,1207.4,
99XXX,1,2025/06/30,1142.9,
99XXX,1,2025/07/01,1081.8,
99XXX,1,2025/07/02,1021.4,
99XXX,1,2025/07/03,967.6,
99XXX,1,2025/07/04,924.3,
99XXX,1,2025/07/05,887.8,
99XXX,1,2025/07/06,856.1,
99XXX,1,2025/07/07,825.8,
99XXX,1,2025/07/08,798.4,
99XXX,1,2025/07/09,778.2,
99XXX,1,2025/07/10,756.4,
99XXX,1,2025/07/11,738.3,
99XXX,1,2025/07/12,723.1,
99XXX,1,2025/07/13,709.6,
99XXX,1,2025/07/14,698.5,
99XXX,1,2025/07/15,689.6,
99XXX,1,2025/07/16,682.1,
99XXX,1,2025/07/17,678.2,
99XXX,1,2025/07/18,678.1,
99XXX,1,2025/07/19,679.8,
99XXX,1,2025/07/20,674.3,
99XXX,1,2025/07/21,668.7,
99XXX,1,2025/07/22,664.9,
99XXX,1,2025/07/23,653.9,
99XXX,1,2025/07/24,643.7,
99XXX,1,2025/07/25,635.9,
99XXX,1,2025/07/26,627.3,
99XXX,1,2025/07/27,620,
99XXX,1,2025/07/28,612.4,
99XXX,1,2025/07/29,606.4,
99XXX,1,2025/07/30,601.6,
99XXX,1,2025/07/31,595.3,
99XXX,1,2025/08/01,588.1,
99XXX,1,2025/08/02,580.6,
99XXX,1,2025/08/03,572.1,
99XXX,1,2025/08/04,564.2,
99XXX,1,2025/08/05,556.6,
99XXX,1,2025/08/06,551.9,
99XXX,1,2025/08/07,547.3,
99XXX,1,2025/08/08,543.3,
99XXX,1,2025/08/09,535.9,
99XXX,1,2025/08/10,527,
99XXX,1,2025/08/11,519.3,
99XXX,1,2025/08/12,516.6,
99XXX,1,2025/08/13,512.6,
99XXX,1,2025/08/14,509.9,
99XXX,1,2025/08/15,505.8,
99XXX,1,2025/08/16,500.2,
99XXX,1,2025/08/17,491.4,
99XXX,1,2025/08/18,485.5,
99XXX,1,2025/08/19,483.4,
99XXX,1,2025/08/20,480.7,
99XXX,1,2025/08/21,480.6,
99XXX,1,2025/08/22,484.7,
99XXX,1,2025/08/23,489.5,
99XXX,1,2025/08/24,492.5,
99XXX,1,2025/08/25,491.9,
99XXX,1,2025/08/26,489.3,
99XXX,1,2025/08/27,485.5,
99XXX,1,2025/08/28,478.4,
99XXX,1,2025/08/29,472.3,
99XXX,1,2025/08/30,469,
99XXX,1,2025/08/31,471.1,
99XXX,1,2025/09/01,470.7,
99XXX,1,2025/09/02,468.7,
99XXX,1,2025/09/03,472.5,
99XXX,1,2025/09/04,477.3,
99XXX,1,2025/09/05,479,
99XXX,1,2025/09/06,480,
99XXX,1,2025/09/07,478.4,
99XXX,1,2025/09/08,477.1,
99XXX,1,2025/09/09,476.6,
99XXX,1,2025/09/10,476.6,
99XXX,1,2025/09/11,479.1,
99XXX,1,2025/09/12,482.7,
99XXX,1,2025/09/13,485.3,
99XXX,1,2025/09/14,487,
99XXX,1,2025/09/15,489.9,
99XXX,1,2025/09/16,494.2,
99XXX,1,2025/09/17,496.1,
99XXX,1,2025/09/18,498.2,
99XXX,1,2025/09/19,501.9,
99XXX,1,2025/09/20,507.5,
99XXX,1,2025/09/21,520.5,
99XXX,1,2025/09/22,535.4,
99XXX,1,2025/09/23,547.7,
99XXX,1,2025/09/24,561.2,
99XXX,1,2025/09/25,573.2,
99XXX,1,2025/09/26,586.6,
99XXX,1,2025/09/27,597.2,
99XXX,1,2025/09/28,606.9,
99XXX,1,2025/09/29,615.6,
99XXX,1,2025/09/30,623.6,
99XXX,1,2025/10/01,628.9,
99XXX,1,2025/10/02,630.9,
99XXX,1,2025/10/03,625.7,
99XXX,1,2025/10/04,623.6,
99XXX,1,2025/10/05,620.4,
99XXX,1,2025/10/06,617.8,
99XXX,1,2025/10/07,614.5,
99XXX,1,2025/10/08,612.8,
99XXX,1,2025/10/09,611.8,
99XXX,1,2025/10/10,606.5,
99XXX,1,2025/10/11,601.7,
99XXX,1,2025/10/12,595.5,
99XXX,1,2025/10/13,591.9,
