 ID,PARAM,dateTime,GdeBaleine-3,SYM
99XXX,1,2025/01/01,326.7,
99XXX,1,2025/01/02,321.4,
99XXX,1,2025/01/03,316.6,
99XXX,1,2025/01/04,312.1,
99XXX,1,2025/01/05,308,
99XXX,1,2025/01/06,304.2,
99XXX,1,2025/01/07,300,
99XXX,1,2025/01/08,296.3,
99XXX,1,2025/01/09,292.4,
99XXX,1,2025/01/10,288.6,
99XXX,1,2025/01/11,284.9,
99XXX,1,2025/01/12,281.2,
99XXX,1,2025/01/13,278.1,
99XXX,1,2025/01/14,274.5,
99XXX,1,2025/01/15,271.4,
99XXX,1,2025/01/16,268.4,
99XXX,1,2025/01/17,265.5,
99XXX,1,2025/01/18,262.3,
99XXX,1,2025/01/19,259.2,
99XXX,1,2025/01/20,256.1,
99XXX,1,2025/01/21,253.2,
99XXX,1,2025/01/22,250.1,
99XXX,1,2025/01/23,247.1,
99XXX,1,2025/01/24,244.4,
99XXX,1,2025/01/25,241.8,
99XXX,1,2025/01/26,238.9,
99XXX,1,2025/01/27,236,
99XXX,1,2025/01/28,233.2,
99XXX,1,2025/01/29,230.3,
99XXX,1,2025/01/30,227.8,
99XXX,1,2025/01/31,225.6,
99XXX,1,2025/02/01,223,
99XXX,1,2025/02/02,220.6,
99XXX,1,2025/02/03,218,
99XXX,1,2025/02/04,215.8,
99XXX,1,2025/02/05,213.5,
99XXX,1,2025/02/06,211.1,
99XXX,1,2025/02/07,209.1,
99XXX,1,2025/02/08,207.2,
99XXX,1,2025/02/09,205,
99XXX,1,2025/02/10,202.7,
99XXX,1,2025/02/11,200.7,
99XXX,1,2025/02/12,198.8,
99XXX,1,2025/02/13,197,
99XXX,1,2025/02/14,195.5,
99XXX,1,2025/02/15,193.2,
99XXX,1,2025/02/16,191.4,
99XXX,1,2025/02/17,189.6,
99XXX,1,2025/02/18,187.9,
99XXX,1,2025/02/19,186.1,
99XXX,1,2025/02/20,184.6,
99XXX,1,2025/02/21,182.9,
99XXX,1,2025/02/22,181.2,
99XXX,1,2025/02/23,179.4,
99XXX,1,2025/02/24,178,
99XXX,1,2025/02/25,176.5,
99XXX,1,2025/02/26,174.7,
